,pollPlaceName,googlePlaceID,dates,county,idTown,lat,lng,address,url
0,BOARD OF ELECTIONS AND REGISTRAR,ChIJFZc46Nty8IgRbZsGMtPyEKs,"['10/12/2020 - 10/16/2020 08:00 AM - 05:00 PM', '10/19/2020 - 10/23/2020 08:00 AM - 05:00 PM', '10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM', '10/26/2020 - 10/30/2020 08:00 AM - 05:00 PM']",Appling County,001,31.7778415,-82.35023269999999,"69 TIPPINS ST, BAXLEY, GA 31513","https://www.google.com/maps/search/69+TIPPINS+ST.,+SUITE+205+BAXLEY,+GA,+31513"
1,ATKINSON CO. ELECTION OFFICE,ChIJxfoeqMrT74gR2Fyr7PfziI0,['10/12/2020 - 10/30/2020 09:00 AM - 05:00 PM'],Atkinson County,002,31.2926525,-82.84250870000001,"636 AUSTIN AVENUE E, PEARSON, GA 31642","https://www.google.com/maps/search/636+AUSTIN+AVENUE+E+PEARSON,+GA,+31642"
2,BACON COUNTY ELECTIONS OFFICE,EiIyMzIgVyAxMnRoIFN0LCBBbG1hLCBHQSAzMTUxMCwgVVNBIhsSGQoUChIJWVTpmNIb8IgR6slqoUDv9qoQ6AE,"['10/12/2020 - 10/16/2020 09:00 AM - 05:00 PM', '10/19/2020 - 10/23/2020 09:00 AM - 05:00 PM', '10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM', '10/26/2020 - 10/30/2020 09:00 AM - 05:00 PM']",Bacon County,003,31.5413592,-82.464885,"232 WEST 12TH STREET, ALMA, GA 31510","https://www.google.com/maps/search/232+WEST+12TH+STREET+ALMA,+GA,+31510"
3,BAKER COUNTY COURTHOUSE,EiMxNjcgQmFrZXIgUGwsIE5ld3RvbiwgR0EgMzk4NzAsIFVTQSIbEhkKFAoSCcEICAdZd-2IETFOCuqN8LZaEKcB,['10/12/2020 - 10/30/2020 09:00 AM - 05:00 PM'],Baker County,004,31.317666,-84.3412951,"167 BAKER PLACE, NEWTON, GA 39870","https://www.google.com/maps/search/167+BAKER+PLACE+NEWTON,+GA,+39870"
4,REGISTRATION & ELECTIONS OFFICE,ChIJqQwC0YzH9ogRN-j92MQZh94,"['10/12/2020 - 10/16/2020 08:30 AM - 05:00 PM', '10/19/2020 - 10/23/2020 08:30 AM - 05:00 PM', '10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM', '10/26/2020 - 10/30/2020 08:30 AM - 05:00 PM']",Baldwin County,005,33.098832,-83.24304699999999,"1601 N COLUMBIA ST, MILLEDGEVILLE, GA 31061","https://www.google.com/maps/search/1601+N+COLUMBIA+ST+MILLEDGEVILLE,+GA,+31061"
5,ELECTIONS & REGISTRATION OFFICE,ChIJ3e978gcC9ogRWETXmt5ZYkE,"['10/13/2020 - 10/16/2020 08:00 AM - 05:00 PM', '10/19/2020 - 10/23/2020 08:00 AM - 05:00 PM', '10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM', '10/26/2020 - 10/30/2020 08:00 AM - 05:00 PM']",Banks County,006,34.335437,-83.4974345,"226 CANDLER STREET, HOMER, GA 30547","https://www.google.com/maps/search/226+CANDLER+STREET+HOMER,+GA,+30547"
6,BARROW COUNTY ELECTIONS OFFICE,ChIJg54ZrXzn9YgRD-GPSoXyiuE,"['10/12/2020 - 10/16/2020 08:00 AM - 05:00 PM', '10/17/2020 - 10/17/2020 09:00 AM - 04:00 PM', '10/19/2020 - 10/23/2020 08:00 AM - 05:00 PM', '10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM', '10/26/2020 - 10/30/2020 08:00 AM - 07:00 PM']",Barrow County,007,33.9977319,-83.70936909999999,"233 E. BROAD ST, WINDER, GA 30680","https://www.google.com/maps/search/233+E.+BROAD+ST+WINDER,+GA,+30680"
7,ALLATOONA RESOURCE CENTER,ChIJV53fpU9B9YgRGIkTVVVQ5wE,['10/26/2020 - 10/30/2020 08:00 AM - 06:00 PM'],Bartow County,008,34.1137254,-84.681162,"6503 GLADE RD, ACWORTH, GA 30102","https://www.google.com/maps/search/6503+GLADE+RD+ACWORTH,+GA,+30102"
8,CARTERSVILLE CIVIC CENTER,ChIJ1Yjd8BpP9YgRsJ3W3EwAuG8,"['10/12/2020 - 10/17/2020 08:00 AM - 06:00 PM', '10/19/2020 - 10/24/2020 08:00 AM - 06:00 PM', '10/26/2020 - 10/30/2020 08:00 AM - 06:00 PM']",Bartow County,008,34.16354949999999,-84.8064654,"435 WEST MAIN STREET, CARTERSVILLE, GA 30120","https://www.google.com/maps/search/435+WEST+MAIN+STREET+CARTERSVILLE,+GA,+30120"
9,MANNING MILL PARK FACILITY,ChIJLXFavfdU9YgRUXIxXImU9KI,['10/26/2020 - 10/30/2020 08:00 AM - 06:00 PM'],Bartow County,008,34.3457503,-84.9003887,"163B MANNING MILL RD, ADAIRSVILLE, GA 30103","https://www.google.com/maps/search/163B+MANNING+MILL+RD+ADAIRSVILLE,+GA,+30103"
